"Notes"	"UCD - ICD Chapter"	"UCD - ICD Chapter Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2001"	"2001"	10	4172	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2008"	"2008"	16	6763	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2009"	"2009"	11	7192	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2010"	"2010"	10	7550	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2012"	"2012"	20	9318	214.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2013"	"2013"	17	10305	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2014"	"2014"	20	11089	180.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2015"	"2015"	15	12198	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2016"	"2016"	10	13049	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Female"	"F"	"85+ years"	"85+"	"2017"	"2017"	17	14833	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"45-54 years"	"45-54"	"1999"	"1999"	11	73148	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"45-54 years"	"45-54"	"2000"	"2000"	11	77189	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"45-54 years"	"45-54"	"2002"	"2002"	21	86229	24.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"45-54 years"	"45-54"	"2004"	"2004"	11	92648	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"45-54 years"	"45-54"	"2005"	"2005"	11	95498	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"45-54 years"	"45-54"	"2006"	"2006"	11	98052	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"45-54 years"	"45-54"	"2010"	"2010"	11	109332	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"45-54 years"	"45-54"	"2014"	"2014"	14	115428	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"55-64 years"	"55-64"	"2000"	"2000"	14	42375	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"55-64 years"	"55-64"	"2002"	"2002"	16	47956	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"55-64 years"	"55-64"	"2003"	"2003"	13	51026	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"55-64 years"	"55-64"	"2008"	"2008"	14	69813	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"55-64 years"	"55-64"	"2010"	"2010"	10	78095	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"55-64 years"	"55-64"	"2011"	"2011"	19	83559	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"55-64 years"	"55-64"	"2012"	"2012"	10	87955	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"55-64 years"	"55-64"	"2014"	"2014"	14	96784	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"55-64 years"	"55-64"	"2015"	"2015"	10	100877	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"55-64 years"	"55-64"	"2016"	"2016"	16	102154	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"55-64 years"	"55-64"	"2017"	"2017"	19	105817	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"1999"	"1999"	10	21559	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"2000"	"2000"	11	22875	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"2001"	"2001"	12	24940	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"2003"	"2003"	11	28495	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"2004"	"2004"	11	30181	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"2006"	"2006"	15	33376	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"2008"	"2008"	14	36694	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"2009"	"2009"	11	38307	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"2010"	"2010"	12	39677	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"2012"	"2012"	10	44495	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"2013"	"2013"	15	48097	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"2014"	"2014"	19	52213	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"2015"	"2015"	14	56546	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"2016"	"2016"	14	58876	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"65-74 years"	"65-74"	"2017"	"2017"	19	63745	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"1999"	"1999"	11	8990	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2001"	"2001"	13	10147	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2002"	"2002"	10	10804	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2004"	"2004"	12	12269	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2005"	"2005"	14	13075	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2006"	"2006"	12	13841	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2007"	"2007"	13	14625	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2010"	"2010"	14	17424	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2011"	"2011"	23	18995	121.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2012"	"2012"	13	20482	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2013"	"2013"	15	22062	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2014"	"2014"	20	23734	84.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2015"	"2015"	34	25538	133.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2016"	"2016"	20	26574	75.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"75-84 years"	"75-84"	"2017"	"2017"	21	28950	72.5
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2011"	"2011"	14	5079	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2012"	"2012"	13	5528	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2013"	"2013"	12	6181	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2014"	"2014"	22	6760	325.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2015"	"2015"	13	7464	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2016"	"2016"	18	8034	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Asian or Pacific Islander"	"A-PI"	"Male"	"M"	"85+ years"	"85+"	"2017"	"2017"	25	9303	268.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"1999"	"1999"	10	268568	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2001"	"2001"	12	274004	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2003"	"2003"	14	277667	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2005"	"2005"	16	282546	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"15-24 years"	"15-24"	"2006"	"2006"	10	283746	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"1999"	"1999"	80	289569	27.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2000"	"2000"	68	284275	23.9
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2001"	"2001"	75	276910	27.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2002"	"2002"	57	273620	20.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2003"	"2003"	34	270572	12.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2004"	"2004"	45	267272	16.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2005"	"2005"	33	261826	12.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2006"	"2006"	22	258944	8.5
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2007"	"2007"	24	258373	9.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2008"	"2008"	28	259702	10.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2009"	"2009"	22	263781	8.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2010"	"2010"	10	266023	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2011"	"2011"	14	268638	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2012"	"2012"	14	271528	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2014"	"2014"	14	281909	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2016"	"2016"	11	291591	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"25-34 years"	"25-34"	"2017"	"2017"	10	298267	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"1999"	"1999"	198	296913	66.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2000"	"2000"	181	299408	60.5
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2001"	"2001"	172	303246	56.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2002"	"2002"	166	302101	54.9
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2003"	"2003"	158	300353	52.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2004"	"2004"	153	296329	51.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2005"	"2005"	128	291775	43.9
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2006"	"2006"	113	287171	39.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2007"	"2007"	109	279844	39.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2008"	"2008"	67	273206	24.5
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2009"	"2009"	61	265883	22.9
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2010"	"2010"	39	262068	14.9
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2011"	"2011"	51	256625	19.9
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2012"	"2012"	34	254511	13.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2013"	"2013"	23	252120	9.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2014"	"2014"	19	253317	Unreliable
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2015"	"2015"	26	252142	10.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2016"	"2016"	30	249130	12.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"35-44 years"	"35-44"	"2017"	"2017"	27	250095	10.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"1999"	"1999"	162	219892	73.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2000"	"2000"	174	224544	77.5
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2001"	"2001"	166	233053	71.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2002"	"2002"	153	238262	64.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2003"	"2003"	160	243359	65.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2004"	"2004"	179	248317	72.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2005"	"2005"	164	252836	64.9
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2006"	"2006"	170	257601	66.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2007"	"2007"	153	261804	58.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2008"	"2008"	140	267318	52.4
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2009"	"2009"	145	273098	53.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2010"	"2010"	106	276561	38.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2011"	"2011"	89	277934	32.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2012"	"2012"	92	277308	33.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2013"	"2013"	86	277141	31.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2014"	"2014"	59	276522	21.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2015"	"2015"	52	274112	19.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2016"	"2016"	63	269952	23.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"45-54 years"	"45-54"	"2017"	"2017"	47	266161	17.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"1999"	"1999"	75	152022	49.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2000"	"2000"	73	155195	47.0
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2001"	"2001"	76	158927	47.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2002"	"2002"	74	163961	45.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2003"	"2003"	60	168009	35.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2004"	"2004"	77	172724	44.6
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2005"	"2005"	96	177586	54.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2006"	"2006"	91	181797	50.1
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2007"	"2007"	81	185106	43.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2008"	"2008"	90	188532	47.7
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2009"	"2009"	101	193544	52.2
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2010"	"2010"	115	198843	57.8
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2011"	"2011"	94	207528	45.3
	"Certain infectious and parasitic diseases"	"A00-B99"	"Black or African American"	"2054-5"	"Female"	"F"	"55-64 years"	"55-64"	"2012"	"2012"	98	213550	45.9
